開講年度,開講学期,曜日,時限,教員,科目名,授業番号,単位数,シラバスURL,科目区分,学部コード
2023,後期,金,1限,野元弘幸,生涯学習概論Ⅰ,F185,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_02_F185.html,,02
2023,後期,火,4限,松田 真希子,日本語教育学講義,F1850,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F1850.html,,A1
2023,後期,火,3限,中井 仙丈,比較言語文化論,F1851,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F1851.html,,A1
2023,前期,月,3限,金 侖貞,生涯学習概論Ⅱ,F186,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_02_F186.html,,02
2023,前期,水,3限,野元弘幸,生涯学習支援論Ⅰ,F187,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_02_F187.html,,02
2023,後期,水,3限,野元弘幸,生涯学習支援論Ⅱ,F188,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_02_F188.html,,02
2023,前期,火,2限,金 侖貞,社会教育経営論Ⅰ,F189,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_02_F189.html,,02
2023,後期,火,2限,金 侖貞,社会教育経営論Ⅱ,F190,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_02_F190.html,,02
2023,後期,金,3限,上野 昌之,社会教育学特殊講義Ⅰ,F191,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_02_F191.html,,02
2023,後期,金,1限,江頭 晃子,市民社会と社会教育,F192,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_02_F192.html,,02
2023,前期,金,4限,森本 扶,青少年問題と社会教育,F193,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_02_F193.html,,02
2023,前期,木,2限,叶田 真規子,環境問題と社会教育,F194,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/4/2023_02_F194.html,,02
2023,通年,水,2限,野元弘幸,社会教育学演習,F195,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_02_F195.html,,02
2023,通年,火,4限,金 侖貞,社会教育学演習,F196,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_02_F196.html,,02
2023,通年,他,0限,金 侖貞,社会教育実習,F197,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/9/2023_02_F197.html,,02
2023,通年,金,2限,野元弘幸,多文化教育学演習（SeminaronMulticulturalEducation）,F199,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_02_F199.html,,02
2023,集中,他,0限,野元弘幸,教育学特殊講義Ⅰ（文化・芸術体験型授業）,F200,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/9/2023_02_F200.html,,02
2023,集中,他,0限,須藤 康介,教育学特殊講義Ⅰ,F201,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/9/2023_02_F201.html,,02
2023,前期,火,4限,杉田 真衣,教育学特殊講義Ⅰ,F203,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_02_F203.html,,02
2023,後期,火,4限,古里 貴士,教育学特殊講義Ⅰ,F204,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_02_F204.html,,02
2023,前期,火,4限,河原 紀子,教育学特殊講義Ⅰ,F206,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_02_F206.html,,02
2023,前期,金,4限,米澤 篤代,教育学特殊講義Ⅰ,F207,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_02_F207.html,,02
2023,後期,金,4限,森本 扶,教育学特殊講義Ⅰ,F208,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_02_F208.html,,02
2023,集中,他,他,4限,5限,山田 素子,教育学特殊講義Ⅰ,F209,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/9/2023_02_F209.html,,02
2023,前期,水,3限,栗原 裕次,古代中世哲学Ⅰ,F2101,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2101.html,,A1
2023,後期,水,3限,栗原 裕次,古代中世哲学Ⅱ,F2102,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2102.html,,A1
2023,前期,金,4限,木田 直人,近世哲学Ⅰ,F2103,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/5/2023_A1_F2103.html,,A1
2023,後期,金,4限,石川求,近世哲学Ⅱ,F2104,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/5/2023_A1_F2104.html,,A1
2023,前期,火,5限,松阪陽一,哲学基礎演習（英米）Ⅰ,F2105,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2105.html,,A1
2023,後期,火,5限,松阪陽一,哲学基礎演習（英米）Ⅱ,F2106,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2106.html,,A1
2023,通年,金,5限,栗原 裕次,哲学史演習（古代中世）,F2109,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/5/2023_A1_F2109.html,,A1
2023,通年,火,3限,上村 直樹,倫理学史演習,F2113,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2113.html,,A1
2023,通年,月,4限,木田 直人,倫理学演習,F2114,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A1_F2114.html,,A1
2023,通年,月,3限,石川求,哲学史特殊講義（ドイツ）,F2116,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A1_F2116.html,,A1
2023,通年,月,3限,木田 直人,哲学史特殊講義（フランス）,F2117,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A1_F2117.html,,A1
2023,通年,月,4限,松阪陽一,哲学特殊講義（言語哲学）,F2118,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A1_F2118.html,,A1
2023,後期,月,2限,佐藤 香織,哲学特殊講義,F2120,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A1_F2120.html,,A1
2023,前期,火,2限,渡辺大地,哲学特殊講義,F2121,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2121.html,,A1
2023,前期,水,2限,近堂 秀,哲学特殊講義,F2122,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2122.html,,A1
2023,後期,水,3限,上田 圭委子,哲学特殊講義,F2123,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2123.html,,A1
2023,後期,木,2限,永野潤,哲学特殊講義,F2124,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/4/2023_A1_F2124.html,,A1
2023,後期,木,5限,澁川 優太,哲学特殊講義,F2125,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/4/2023_A1_F2125.html,,A1
2023,前期,金,3限,東 克明,哲学特殊講義,F2126,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/5/2023_A1_F2126.html,,A1
2023,後期,金,6限,高橋 若木,哲学特殊講義,F2127,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/5/2023_A1_F2127.html,,A1
2023,通年,火,6限,杉田 真衣,（カ）教育研究法,F213,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_02_F213.html,,02
2023,通年,月,4限,伊藤 直樹,美学,F2130,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A1_F2130.html,,A1
2023,通年,水,2限,鈴木 朋子,日本倫理思想史,F2131,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2131.html,,A1
2023,通年,木,木,3限,4限,石川求,哲学討論,F2132,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/4/2023_A1_F2132.html,,A1
2023,前期,火,3限,小池 登,西洋古典学概説Ⅰ,F2133,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2133.html,,A1
2023,後期,火,3限,吉田 俊一郎,西洋古典学概説Ⅱ,F2134,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2134.html,,A1
2023,前期,火,2限,小池 登,ギリシャ語Ⅱ,F2135,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2135.html,,A1
2023,後期,火,2限,小池 登,ギリシャ語Ⅱ,F2136,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2136.html,,A1
2023,前期,水,2限,吉田 俊一郎,ラテン語Ⅱ,F2137,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2137.html,,A1
2023,後期,水,2限,吉田 俊一郎,ラテン語Ⅱ,F2138,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2138.html,,A1
2023,通年,火,5限,吉田 俊一郎,西洋古典学演習（ギリシャ文学）,F2139,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2139.html,,A1
2023,通年,水,1限,杉田 真衣,（カ）教育研究法,F214,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_02_F214.html,,02
2023,通年,金,3限,小池 登,西洋古典学演習（ギリシャ文学）,F2140,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/5/2023_A1_F2140.html,,A1
2023,通年,木,2限,小池 登,西洋古典学演習（ラテン文学）,F2141,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/4/2023_A1_F2141.html,,A1
2023,通年,水,5限,吉田 俊一郎,西洋古典学演習（ラテン文学）,F2142,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2142.html,,A1
2023,集中,他,0限,木田 直人,哲学卒業論文,F2143,10,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/9/2023_A1_F2143.html,,A1
2023,前期,水,3限,栗原 裕次,哲学（古代中世Ⅰ）,F2144,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2144.html,,A1
2023,後期,水,3限,栗原 裕次,哲学（古代中世Ⅱ）,F2145,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2145.html,,A1
2023,前期,金,4限,木田 直人,哲学（近世Ⅰ）,F2146,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/5/2023_A1_F2146.html,,A1
2023,後期,金,4限,石川求,哲学（近世Ⅱ）,F2147,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/5/2023_A1_F2147.html,,A1
2023,通年,月,4限,伊藤 直樹,哲学（美学）,F2148,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A1_F2148.html,,A1
2023,通年,水,2限,鈴木 朋子,哲学（日本倫理思想史）,F2149,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2149.html,,A1
2023,集中,他,0限,杉田 真衣,教育学卒業論文,F215,10,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/9/2023_02_F215.html,,02
2023,前期,水,3限,木田 直人,哲学基礎演習（仏）Ⅰ,F2151,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2151.html,,A1
2023,後期,水,3限,木田 直人,哲学基礎演習（仏）Ⅱ,F2152,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2152.html,,A1
2023,通年,月,5限,松阪陽一,哲学史演習（英米）,F2153,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A1_F2153.html,,A1
2023,通年,木,2限,石川求,倫理学史演習,F2154,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/4/2023_A1_F2154.html,,A1
2023,集中,他,0限,大塚 淳,哲学特殊講義,F2155,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/9/2023_A1_F2155.html,,A1
2023,後期,金,5限,峯島 宏次,哲学特殊講義,F2156,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/5/2023_A1_F2156.html,,A1
2023,通年,水,5限,栗原 裕次,倫理学特殊講義,F2157,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2157.html,,A1
2023,前期,水,3限,野元弘幸,（カ）国際教育論Ⅰ,F216,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_02_F216.html,,02
2023,後期,水,3限,野元弘幸,（カ）国際教育論Ⅱ,F217,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_02_F217.html,,02
2023,後期,火,5限,竹浪隆良,教職入門,F220,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_02_F220.html,,02
2023,前期,木,6限,風巻 浩,教職入門,F221,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/4/2023_02_F221.html,,02
2023,通年,火,6限,向後 武,社会科教育法２,F222,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_02_F222.html,,02
2023,通年,木,5限,根元 一幸,地理歴史科教育法,F223,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/4/2023_02_F223.html,,02
2023,通年,水,5限,吉田 俊弘,公民科教育法,F224,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_02_F224.html,,02
2023,集中,他,0限,杉田 真衣,教育実習（中学校）,F225,5,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/9/2023_02_F225.html,,02
2023,集中,他,0限,杉田 真衣,教育実習（高等学校）,F226,3,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/9/2023_02_F226.html,,02
2023,後期,火,火,5限,6限,人文社会学部（非常勤）,（カ）教職実践演習（中・高）,F227,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_02_F227.html,,02
2023,通年,木,4限,山下洋児,障害者教育学,F229,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/4/2023_02_F229.html,,02
2023,前期,火,2限,本間猛,音韻論基礎,F231,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_02_F231.html,,02
2023,後期,火,2限,本間猛,音韻論基礎,F232,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_02_F232.html,,02
2023,前期,水,4限,小西 海香,言語脳科学,F233,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_02_F233.html,,02
2023,後期,水,4限,小西 海香,言語脳科学,F234,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_02_F234.html,,02
2023,前期,月,2限,保前文高,認知神経科学,F235,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_02_F235.html,,02
2023,後期,月,2限,保前文高,認知神経科学,F236,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_02_F236.html,,02
2023,前期,木,2限,江頭 浩樹,言語科学概論,F237,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/4/2023_02_F237.html,,02
2023,後期,木,2限,江頭 浩樹,言語科学概論,F238,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/4/2023_02_F238.html,,02
2023,後期,水,3限,矢野 雅貴,心理言語学,F239,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_02_F239.html,,02
2023,集中,他,0限,山田 敏幸,心理言語学,F240,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/9/2023_02_F240.html,,02
2023,前期,水,2限,前田 弘毅,歴史学概論＜102＞,F2401,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2401.html,,A1
2023,後期,水,2限,髙橋 亮介,歴史学方法論＜101＞,F2402,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2402.html,,A1
2023,前期,水,3限,山田 康弘,考古学概論,F2403,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2403.html,,A1
2023,後期,水,3限,出穂 雅実,考古学方法論,F2404,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2404.html,,A1
2023,通年,火,4限,谷口 央,古文書学,F2405,4,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2405.html,,A1
2023,前期,水,3限,國雄行,日本文化史,F2406,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2406.html,,A1
2023,前期,木,2限,鎌倉佐保,日本史概説,F2407,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/4/2023_A1_F2407.html,,A1
2023,前期,木,1限,赤羽目 匡由,外国史概説（東洋史）,F2408,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/4/2023_A1_F2408.html,,A1
2023,後期,火,2限,田瀬 望,外国史概説（西洋史）,F2409,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2409.html,,A1
2023,前期,火,4限,本間猛,音韻論,F241,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_02_F241.html,,02
2023,集中,他,0限,橋場 万里子,歴史調査法,F2410,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/9/2023_A1_F2410.html,,A1
2023,後期,水,3限,鎌倉佐保,日本史学特殊講義Ⅰ＜101＞,F2411,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2411.html,,A1
2023,前期,火,5限,谷口 央,日本史学特殊講義Ⅱ＜101＞,F2412,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2412.html,,A1
2023,後期,火,5限,福留 真紀,日本史学特殊講義Ⅱ＜901＞,F2413,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2413.html,,A1
2023,前期,金,4限,國雄行,日本史学特殊講義Ⅲ,F2414,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/5/2023_A1_F2414.html,,A1
2023,後期,金,5限,小野 美里,日本史学特殊講義Ⅳ,F2415,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/5/2023_A1_F2415.html,,A1
2023,後期,金,5限,赤羽目 匡由,東洋史学特殊講義Ⅰ＜101＞,F2416,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/5/2023_A1_F2416.html,,A1
2023,前期,火,4限,峰雪 幸人,東洋史学特殊講義Ⅰ＜901＞,F2417,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2417.html,,A1
2023,後期,木,2限,前田 弘毅,東洋史学特殊講義Ⅱ＜101＞,F2418,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/4/2023_A1_F2418.html,,A1
2023,後期,金,2限,野本 敬,東洋史学特殊講義Ⅱ＜901＞,F2419,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/5/2023_A1_F2419.html,,A1
2023,後期,火,4限,本間猛,音韻論,F242,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/2/2023_02_F242.html,,02
2023,前期,火,2限,藤木 健二,東洋史学特殊講義Ⅱ＜902＞,F2420,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2420.html,,A1
2023,後期,火,4限,大野 絢也,東洋史学特殊講義Ⅲ＜101＞,F2421,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2421.html,,A1
2023,前期,金,2限,大貫 俊夫,西洋史学特殊講義Ⅰ＜102＞,F2422,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/5/2023_A1_F2422.html,,A1
2023,後期,金,3限,髙橋 亮介,西洋史学特殊講義Ⅰ＜103＞,F2423,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/5/2023_A1_F2423.html,,A1
2023,前期,火,2限,小森 宏美,西洋史学特殊講義Ⅱ＜101＞,F2424,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2424.html,,A1
2023,後期,火,4限,田瀬 望,西洋史学特殊講義Ⅱ＜901＞,F2425,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2425.html,,A1
2023,後期,火,2限,小森 宏美,西洋史学特殊講義Ⅱ＜902＞,F2426,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2426.html,,A1
2023,前期,火,4限,田村 俊行,西洋史学特殊講義Ⅱ＜903＞,F2427,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2427.html,,A1
2023,後期,月,2限,出穂 雅実,考古学特殊講義Ⅰ＜101＞,F2428,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A1_F2428.html,,A1
2023,前期,月,2限,出穂 雅実,考古学特殊講義Ⅰ＜102＞,F2429,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A1_F2429.html,,A1
2023,前期,水,2限,原田 なをみ,統語論,F243,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/3/2023_02_F243.html,,02
2023,後期,火,2限,大谷 薫,考古学特殊講義Ⅰ＜902＞,F2430,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2430.html,,A1
2023,後期,火,4限,夏木 大吾,考古学特殊講義Ⅰ＜903＞,F2431,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2431.html,,A1
2023,前期,木,2限,山田 康弘,考古学特殊講義Ⅱ＜101＞,F2432,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/4/2023_A1_F2432.html,,A1
2023,後期,木,2限,山田 康弘,考古学特殊講義Ⅱ＜102＞,F2433,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/4/2023_A1_F2433.html,,A1
2023,後期,火,3限,森田 航,考古学特殊講義Ⅱ＜901＞,F2434,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2434.html,,A1
2023,前期,火,4限,根岸 洋,考古学特殊講義Ⅱ＜902＞,F2435,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2435.html,,A1
2023,前期,水,4限,鎌倉佐保,日本史学演習Ⅰ＜101＞,F2436,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2436.html,,A1
2023,後期,水,4限,鎌倉佐保,日本史学演習Ⅰ＜102＞,F2437,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2437.html,,A1
2023,前期,水,5限,鎌倉佐保,日本史学演習Ⅰ＜103＞,F2438,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2438.html,,A1
2023,後期,水,5限,鎌倉佐保,日本史学演習Ⅰ＜104＞,F2439,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/3/2023_A1_F2439.html,,A1
2023,前期,金,2限,原田 なをみ,生成言語理論,F244,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_02_F244.html,,02
2023,前期,木,4限,服部 一隆,日本史学演習Ⅰ＜901＞,F2440,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/4/2023_A1_F2440.html,,A1
2023,後期,木,4限,服部 一隆,日本史学演習Ⅰ＜902＞,F2441,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/4/2023_A1_F2441.html,,A1
2023,前期,月,3限,谷口 央,日本史学演習Ⅱ＜101＞,F2442,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A1_F2442.html,,A1
2023,後期,月,3限,谷口 央,日本史学演習Ⅱ＜102＞,F2443,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A1_F2443.html,,A1
2023,前期,月,4限,谷口 央,日本史学演習Ⅱ＜103＞,F2444,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A1_F2444.html,,A1
2023,後期,月,4限,谷口 央,日本史学演習Ⅱ＜104＞,F2446,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A1_F2446.html,,A1
2023,前期,火,3限,國雄行,日本史学演習Ⅲ＜101＞,F2448,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2448.html,,A1
2023,後期,火,3限,國雄行,日本史学演習Ⅲ＜102＞,F2449,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2449.html,,A1
2023,後期,金,2限,原田 なをみ,生成言語理論,F245,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/5/2023_02_F245.html,,02
2023,前期,火,4限,國雄行,日本史学演習Ⅲ＜103＞,F2450,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2450.html,,A1
2023,後期,火,4限,國雄行,日本史学演習Ⅲ＜104＞,F2451,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/2/2023_A1_F2451.html,,A1
2023,前期,金,2限,源川真希,日本史学演習Ⅳ＜101＞,F2452,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/5/2023_A1_F2452.html,,A1
2023,後期,金,2限,源川真希,日本史学演習Ⅳ＜102＞,F2453,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/5/2023_A1_F2453.html,,A1
2023,前期,金,3限,源川真希,日本史学演習Ⅳ＜103＞,F2454,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/5/2023_A1_F2454.html,,A1
2023,後期,金,3限,源川真希,日本史学演習Ⅳ＜104＞,F2455,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/5/2023_A1_F2455.html,,A1
2023,前期,月,4限,赤羽目 匡由,東洋史学演習Ⅰ＜101＞,F2456,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/A/1/2023_A1_F2456.html,,A1
